1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,BsmtExposure,BsmtFinType1,GarageFinish,KitchenQual,SalePrice
7.510977752014095,0.0,2.8692138133725202,48.0,1774.0,774.0,2007.0,7.510977752014095,9.366831168735615,4.499809670330265,452.0,108.0,5.0,9.0,1822.0,2007.0,2007.0,Av,Unf,Unf,Gd,12.659734090733718
6.795705775173514,0.0,2.0,0.0,894.0,308.0,1962.0,6.795705775173514,8.794824928014517,4.0943445622221,0.0,0.0,5.0,5.0,894.0,1962.0,1962.0,No,Unf,Unf,TA,11.603679828238693
6.871091294610546,0.0,2.0,713.0,163.0,432.0,1921.0,6.871091294610546,9.500020447090638,4.382026634673881,0.0,0.0,7.0,5.0,876.0,1921.0,2006.0,No,ALQ,Unf,TA,12.004568269319446
7.4318919168078,0.0,3.0,1218.0,350.0,857.0,2002.0,7.4318919168078,9.49288426657184,4.249208678464876,148.0,59.0,5.0,8.0,1568.0,2002.0,2002.0,No,GLQ,RFn,Gd,12.509874099861838
7.340186835320115,0.0,3.0,0.0,1541.0,843.0,2001.0,7.340186835320115,9.525443040003957,4.770684624465665,150.0,81.0,5.0,7.0,1541.0,2001.0,2002.0,No,Unf,RFn,Gd,12.230765258120545
7.107425474110705,0.0,2.0,410.0,811.0,400.0,2004.0,7.107425474110705,8.922658299524402,4.127134385045092,0.0,113.0,5.0,7.0,1221.0,2004.0,2005.0,No,GLQ,RFn,Gd,12.128111104060462
7.188412736496954,0.0,3.0,643.0,445.0,440.0,1965.0,7.188412736496954,9.066239028001926,4.430816798843313,101.0,138.0,5.0,6.0,1088.0,1965.0,1965.0,No,Rec,Unf,TA,11.982929094215963
6.54534966033442,720.0,3.0,604.0,92.0,484.0,1999.0,7.255591274253665,7.85243908535751,3.1780538303479458,0.0,44.0,5.0,7.0,696.0,1999.0,1999.0,No,ALQ,Unf,Gd,11.951180395901384
6.26530121273771,462.0,2.0,462.0,0.0,297.0,1973.0,6.895682697747868,7.3752557780097545,3.044522437723423,0.0,101.0,5.0,4.0,462.0,1973.0,1973.0,Gd,GLQ,Unf,TA,11.418614785498987
6.767343125265392,349.0,3.0,375.0,360.0,440.0,2003.0,7.1049654482698426,8.699514748210191,4.0943445622221,0.0,0.0,6.0,6.0,735.0,1941.0,1950.0,No,ALQ,Unf,TA,11.782952602183288
6.633318433280377,896.0,3.0,0.0,746.0,397.0,2003.0,7.412160334945205,8.843759381917984,4.0943445622221,92.0,128.0,5.0,7.0,746.0,2003.0,2004.0,No,Unf,Fin,Gd,12.016122061571728
7.216709486709457,0.0,2.0,20.0,1342.0,460.0,2005.0,7.216709486709457,8.932872621931374,4.110873864173311,256.0,28.0,5.0,6.0,1362.0,2005.0,2006.0,Av,ALQ,Unf,Gd,12.17921519136029
6.957497370876951,788.0,4.0,0.0,756.0,442.0,1966.0,7.516977224604321,8.948975607841776,4.248495242049359,351.0,124.0,5.0,6.0,756.0,1966.0,1966.0,No,Unf,Unf,TA,11.951180395901384
7.226209010100671,0.0,2.0,0.0,1367.0,451.0,1954.0,7.226209010100671,9.333442569110167,4.31748811353631,0.0,30.0,5.0,6.0,1367.0,1954.0,1954.0,No,Unf,Unf,TA,11.84939770159144
7.022868086082641,348.5240174672489,2.0,144.0,172.0,528.0,1948.0,7.022868086082641,9.392661928770137,4.605170185988092,0.0,36.0,7.0,5.0,924.0,1948.0,2005.0,No,GLQ,Unf,Gd,11.898187865760873
7.266827347520591,0.0,2.0,680.0,289.0,588.0,1978.0,7.266827347520591,9.69010867127683,4.249208678464876,0.0,180.0,7.0,5.0,1360.0,1978.0,1978.0,Gd,ALQ,Unf,Gd,12.175613438045465
6.590301048196686,728.0,3.0,0.0,728.0,400.0,2007.0,7.283448228756631,9.106977858981029,4.174387269895637,0.0,24.0,5.0,7.0,728.0,2007.0,2007.0,Av,Unf,Fin,Gd,12.09815330331068
7.104144092987527,0.0,3.0,611.0,577.0,497.0,1990.0,7.104144092987527,9.205026277152413,4.249208678464876,0.0,27.0,5.0,7.0,1188.0,1990.0,1991.0,Av,GLQ,Unf,Gd,12.061046873479915
6.946975992135418,0.0,2.0,0.0,0.0,625.0,1950.0,6.946975992135418,8.881836305004146,4.0943445622221,0.0,0.0,7.0,5.0,0.0,1950.0,1950.0,None,None,Unf,TA,11.603679828238693
6.416732282512326,612.0,2.0,294.0,318.0,528.0,2009.0,7.1098794630722715,8.006367567650246,3.4011973816621555,76.0,234.0,5.0,6.0,612.0,2009.0,2009.0,Av,GLQ,RFn,Gd,12.065274916913605
6.92951677076365,752.0,2.0,0.0,952.0,468.0,1931.0,7.480992162869525,8.719317375506371,3.9318256327243257,0.0,0.0,5.0,7.0,952.0,1931.0,1950.0,No,Unf,Unf,TA,11.77452020265869
6.8679744089702925,406.0,4.0,241.0,229.0,384.0,1978.0,7.220373836723949,9.036582045842716,3.912023005428146,0.0,130.0,8.0,5.0,861.0,1900.0,1950.0,No,Rec,Unf,TA,11.686878772093667
6.688354713946762,557.0,2.0,0.0,803.0,297.0,1951.0,7.215239978730097,8.881836305004146,4.0943445622221,0.0,65.0,6.0,5.0,803.0,1938.0,1995.0,No,Unf,Unf,Gd,11.740061037553975
6.742880635791903,0.0,1.0,697.0,151.0,420.0,2004.0,6.742880635791903,8.395251520610994,4.249208678464876,147.0,0.0,5.0,6.0,848.0,2004.0,2004.0,Av,GLQ,RFn,Gd,11.913712983527281
7.301147805856032,780.0,2.8692138133725202,871.0,611.0,749.0,2003.0,7.724004656676065,9.412791300065303,4.442651256490317,226.0,0.0,5.0,8.0,1482.0,2003.0,2003.0,Gd,GLQ,Fin,Gd,12.628067055589549
7.106606137727303,0.0,2.0,836.0,0.0,396.0,1951.0,7.106606137727303,9.09121894106832,4.204692619390966,0.0,0.0,5.0,4.0,836.0,1951.0,1951.0,No,LwQ,Unf,TA,11.532728092266408
7.254177846456518,0.0,2.0,0.0,1375.0,398.0,2004.0,7.254177846456518,8.030084094267563,4.249208678464876,18.0,20.0,5.0,7.0,1375.0,2004.0,2004.0,No,Unf,Fin,Gd,12.093687514935382
7.033506484287697,924.0,3.0,319.0,416.0,396.0,1950.0,7.629489916393995,9.169518377455928,4.0943445622221,0.0,0.0,5.0,6.0,735.0,1917.0,1950.0,No,Rec,Unf,TA,11.771436160121729
6.992096427415888,110.0,4.0,0.0,901.0,0.0,1978.5061638868744,7.088408778675395,8.628018746505122,4.0943445622221,0.0,98.0,7.0,6.0,901.0,1920.0,1998.0,No,Unf,Unf,TA,11.288531131754366
7.413970290190444,0.0,2.0,1158.0,343.0,499.0,2000.0,7.413970290190444,8.641885635373555,3.6888794541139363,0.0,59.0,5.0,8.0,1501.0,2000.0,2000.0,No,GLQ,Fin,Ex,12.535376392672774
6.919683849847411,0.0,2.0,0.0,1012.0,308.0,1920.0,6.919683849847411,9.019542996701185,4.07753744390572,0.0,22.0,5.0,6.0,1012.0,1920.0,1950.0,No,Unf,Unf,TA,11.681824001432043
7.430707082545968,998.0,5.0,523.0,301.0,672.0,1970.0,8.033334015880062,9.671744632408455,4.624972813284271,0.0,63.0,3.0,7.0,824.0,1920.0,1970.0,No,GLQ,Fin,TA,12.190959007720126
6.939253946041508,348.5240174672489,4.0,0.0,360.0,672.0,1999.0,7.502186486602924,8.939843124278502,4.330733340286331,0.0,0.0,9.0,5.0,360.0,1900.0,1996.0,No,Unf,Unf,Gd,11.84939770159144
6.963189985870238,872.0,3.0,738.0,319.0,650.0,2001.0,7.564757012905729,8.860782895806315,4.249208678464876,0.0,235.0,5.0,7.0,1057.0,2001.0,2001.0,No,Unf,Fin,Gd,12.328290278254423
6.860663671448287,0.0,3.0,483.0,428.0,576.0,1976.0,6.860663671448287,9.285447844462988,4.007333185232471,0.0,0.0,5.0,5.0,911.0,1976.0,1976.0,Av,ALQ,Unf,TA,11.794337924408413
7.516433302915632,0.0,2.0,1260.0,578.0,765.0,2006.0,7.516433302915632,9.588845298501564,4.442651256490317,584.0,68.0,5.0,9.0,1838.0,2006.0,2006.0,Av,GLQ,Unf,Ex,12.66032791780777
7.402451520818244,0.0,3.0,728.0,568.0,924.0,1993.0,7.402451520818244,9.600894867348593,4.249208678464876,72.0,0.0,7.0,6.0,1296.0,1954.0,2006.0,No,BLQ,Unf,Gd,12.319401330837177
7.045776576879511,0.0,3.0,1148.0,0.0,672.0,1959.0,7.045776576879511,8.97853441008332,4.248495242049359,0.0,0.0,5.0,5.0,1148.0,1959.0,1959.0,No,BLQ,Unf,TA,11.794337924408413
6.856461984594587,0.0,2.8692138133725202,412.0,251.0,280.0,1981.0,6.856461984594587,9.185842740375783,4.110873864173311,0.0,0.0,5.0,5.0,950.0,1971.0,1971.0,No,BLQ,Unf,TA,11.691071650353702
6.970730078143525,846.0,3.0,380.0,397.0,471.0,1993.0,7.555381944240273,9.164715193949908,4.382026634673881,125.0,81.0,5.0,8.0,777.0,1993.0,1994.0,No,Unf,RFn,Gd,12.2783933071098
6.818924065275521,720.0,3.0,300.0,765.0,440.0,1950.0,7.399398083331354,9.075322160298095,4.248495242049359,0.0,38.0,7.0,6.0,1065.0,1923.0,1950.0,No,Rec,Unf,TA,12.254862809699606
7.182352111885263,0.0,3.0,0.0,1316.0,440.0,2007.0,7.182352111885263,9.32143441948177,4.634728988229636,0.0,20.0,5.0,7.0,1316.0,2007.0,2007.0,Av,Unf,Fin,Gd,12.206777397134413
7.273786317844895,0.0,2.0,0.0,1442.0,615.0,1970.0,7.273786317844895,9.368796057668156,4.249208678464876,571.0,0.0,6.0,6.0,1442.0,1970.0,1970.0,No,Unf,RFn,TA,12.128111104060462
6.982862751468942,0.0,3.0,734.0,344.0,500.0,1971.0,6.982862751468942,9.436439551116026,4.249208678464876,0.0,0.0,6.0,5.0,1078.0,1971.0,2008.0,No,GLQ,Fin,TA,11.917723684090689
7.02108396428914,0.0,3.0,932.0,108.0,544.0,1961.0,7.02108396428914,8.84937050375457,4.442651256490317,0.0,0.0,5.0,4.0,1040.0,1961.0,1961.0,No,ALQ,RFn,Fa,11.76756768334381
6.658011045870748,640.0,3.0,353.0,55.0,527.0,2002.0,7.257707677160043,8.955448122347393,4.249208678464876,0.0,0.0,5.0,8.0,408.0,2002.0,2002.0,No,GLQ,Fin,Gd,12.123234367221169
